PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Tom Brady,TB,QB,5,CHI,240,1.6,0.51,2.26,5.54,0.08,0,0,0,253,1,0,2,1,0,0,0,0,16.52,16.52,16.52,14.22,14.22,14.22,13,-0.6,-0.51,-0.26,-4.54,-0.08,0,0,0,-2.3,-2.3,-2.3
Nick Foles,CHI,QB,5,TB,235.66,1.28,0.75,2.35,9.27,0.09,0,0,0,243,1,0,0,0,0,0,0,0,15.26,15.26,15.26,13.72,13.72,13.72,7.34,-0.28,-0.75,-2.35,-9.27,-0.09,0,0,0,-1.54,-1.54,-1.54
Ronald Jones,TB,RB,5,CHI,0,0,0,14.91,61.68,0.48,2.94,19.71,0.13,0,0,0,17,106,0,3,19,0,11.8,14.74,13.27,12.5,15.5,14,0,0,0,2.09,44.32,-0.48,0.06,-0.71,-0.13,0.7,0.76,0.73
David Montgomery,CHI,RB,5,TB,0,0,0,17.33,67.83,0.48,1.95,13.06,0.06,0,0,0,10,29,1,7,30,0,11.33,13.28,12.3,11.9,18.9,15.4,0,0,0,-7.33,-38.83,0.52,5.05,16.94,-0.06,0.57,5.62,3.1
Ke'Shawn Vaughn,TB,RB,5,CHI,0,0,0,7.61,30.47,0.27,1.64,10.77,0.06,0,0,0,0,0,0,2,5,0,6.1,7.74,6.92,0.5,2.5,1.5,0,0,0,-7.61,-30.47,-0.27,0.36,-5.77,-0.06,-5.6,-5.24,-5.42
Mike Evans,TB,WR,5,CHI,0,0,0,0,0,0,5.64,76.95,0.45,0,0,0,0,0,0,5,41,1,10.4,16.04,13.22,10.1,15.1,12.6,0,0,0,0,0,0,-0.64,-35.95,0.55,-0.3,-0.94,-0.62
Allen Robinson,CHI,WR,5,TB,0,0,0,0.06,0.38,0,6.03,64.77,0.35,0,0,0,0,0,0,10,90,0,8.61,14.64,11.62,9,19,14,0,0,0,-0.06,-0.38,0,3.97,25.23,-0.35,0.39,4.36,2.38
Anthony Miller,CHI,WR,5,TB,0,0,0,0.25,1.7,0.01,2.97,34.18,0.18,0,0,0,0,0,0,4,28,0,4.73,7.7,6.22,2.8,6.8,4.8,0,0,0,-0.25,-1.7,-0.01,1.03,-6.18,-0.18,-1.93,-0.9,-1.42
Darnell Mooney,CHI,WR,5,TB,0,0,0,0.34,2.28,0.01,2.86,30.73,0.15,0,0,0,0,0,0,2,15,0,4.26,7.12,5.69,1.5,3.5,2.5,0,0,0,-0.34,-2.28,-0.01,-0.86,-15.73,-0.15,-2.76,-3.62,-3.19
Cordarrelle Patterson,CHI,WR,5,TB,0,0,0,3.38,22.76,0.15,0.69,6.3,0.03,0,0,0,3,7,0,3,38,0,3.99,4.68,4.34,4.5,7.5,6,0,0,0,-0.38,-15.76,-0.15,2.31,31.7,-0.03,0.51,2.82,1.66
Jaydon Mickens,TB,WR,5,CHI,0,0,0,0,0,0,2.01,23.01,0.12,0,0,0,0,0,0,2,22,0,3.02,5.03,4.03,2.2,4.2,3.2,0,0,0,0,0,0,-0.01,-1.01,-0.12,-0.82,-0.83,-0.83
Tyler Johnson,TB,WR,5,CHI,0,0,0,0,0,0,1.28,14.61,0.07,0,0,0,0,0,0,4,61,0,1.88,3.16,2.52,6.1,10.1,8.1,0,0,0,0,0,0,2.72,46.39,-0.07,4.22,6.94,5.58
Rob Gronkowski,TB,TE,5,CHI,0,0,0,0,0,0,3.11,35.92,0.37,0,0,0,0,0,0,3,52,0,5.81,8.92,7.36,5.2,8.2,6.7,0,0,0,0,0,0,-0.11,16.08,-0.37,-0.61,-0.72,-0.66
Jimmy Graham,CHI,TE,5,TB,0,0,0,0,0,0,3.35,34.13,0.24,0,0,0,0,0,0,3,33,1,4.85,8.2,6.52,9.3,12.3,10.8,0,0,0,0,0,0,-0.35,-1.13,0.76,4.45,4.1,4.28
Demetrius Harris,CHI,TE,5,TB,0,0,0,0,0,0,1.53,14.26,0.09,0,0,0,0,0,0,1,9,0,1.97,3.5,2.74,0.9,1.9,1.4,0,0,0,0,0,0,-0.53,-5.26,-0.09,-1.07,-1.6,-1.34
Cameron Brate,TB,TE,5,CHI,0,0,0,0,0,0,1.18,9.83,0.1,0,0,0,0,0,0,5,44,0,1.58,2.76,2.17,4.4,9.4,6.9,0,0,0,0,0,0,3.82,34.17,-0.1,2.82,6.64,4.73
Tanner Hudson,TB,TE,5,CHI,0,0,0,0,0,0,0.04,0.36,0,0,0,0,0,0,0,1,9,0,0.04,0.08,0.06,0.9,1.9,1.4,0,0,0,0,0,0,0.96,8.64,0,0.86,1.82,1.34
Ryan Succop,TB,K,5,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,7.2,13,13,13,0,0,0,0,0,0,0,0,0,5.8,5.8,5.8
Cairo Santos,CHI,K,5,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,6.44,6.44,8,8,8,0,0,0,0,0,0,0,0,0,1.56,1.56,1.56
Patrick Mahomes,KC,QB,5,LV,303.49,2.74,0.7,4.83,20.57,0.23,0,0,0,340,2,0,6,21,1,0,0,0,25.84,25.84,25.84,29.7,29.7,29.7,36.51,-0.74,-0.7,1.17,0.43,0.77,0,0,0,3.86,3.86,3.86
Lamar Jackson,BAL,QB,5,CIN,239.64,2.08,0.62,10.81,54.47,0.49,0,0,0,180,2,0,2,3,0,0,0,0,25.67,25.67,25.67,15.5,15.5,15.5,-59.64,-0.08,-0.62,-8.81,-51.47,-0.49,0,0,0,-10.17,-10.17,-10.17
Dak Prescott,DAL,QB,5,NYG,313.85,2.23,0.68,4.78,20.32,0.37,0,0,0,166,0,0,2,7,0,1,11,1,25.05,25.05,25.05,14.44,15.44,14.94,-147.85,-2.23,-0.68,-2.78,-13.32,-0.37,1,11,1,-10.61,-9.61,-10.11
Russell Wilson,SEA,QB,5,MIN,277.07,2.6,0.58,5.76,29.03,0.16,0,0,0,217,3,0,5,58,0,0,0,0,24.77,24.77,24.77,26.48,26.48,26.48,-60.07,0.4,-0.58,-0.76,28.97,-0.16,0,0,0,1.71,1.71,1.71
Deshaun Watson,HOU,QB,5,JAC,284.62,2.27,0.83,4.73,21.28,0.31,0,0,0,359,3,0,2,25,0,0,0,0,23.62,23.62,23.62,28.86,28.86,28.86,74.38,0.73,-0.83,-2.73,3.72,-0.31,0,0,0,5.24,5.24,5.24
Kyler Murray,ARI,QB,5,NYJ,259.37,1.99,0.8,6.48,29.74,0.31,0,0,0,380,1,0,6,35,1,0,0,0,22.37,22.37,22.37,28.7,28.7,28.7,120.63,-0.99,-0.8,-0.48,5.26,0.69,0,0,0,6.33,6.33,6.33
Matt Ryan,ATL,QB,5,CAR,300.75,2.04,0.7,1.5,5.6,0.05,0,0,0,226,0,0,0,0,0,0,0,0,20.35,20.35,20.35,9.04,9.04,9.04,-74.75,-2.04,-0.7,-1.5,-5.6,-0.05,0,0,0,-11.31,-11.31,-11.31
Teddy Bridgewater,CAR,QB,5,ATL,270.87,1.86,0.83,2.91,12.14,0.17,0,0,0,313,2,0,2,4,0,0,0,0,19.68,19.68,19.68,20.92,20.92,20.92,42.13,0.14,-0.83,-0.91,-8.14,-0.17,0,0,0,1.24,1.24,1.24
Jimmy Garoppolo,SF,QB,5,MIA,268.11,1.96,0.77,1.82,6.68,0.08,0,0,0,77,0,0,0,0,0,0,0,0,18.94,18.94,18.94,3.08,3.08,3.08,-191.11,-1.96,-0.77,-1.82,-6.68,-0.08,0,0,0,-15.86,-15.86,-15.86
Jared Goff,LA,QB,5,WSH,255.85,1.77,0.75,3.15,12.87,0.16,0,0,0,309,2,0,1,2,1,0,0,0,18.81,18.81,18.81,26.56,26.56,26.56,53.15,0.23,-0.75,-2.15,-10.87,0.84,0,0,0,7.75,7.75,7.75
