PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Noah Fant,DEN,TE,12,NO,0,0,0,0.29,1.26,0.01,1.87,28.11,0.07,0,0,0,0,0,0,1,13,0,3.42,5.29,4.36,1.3,2.3,1.8,0,0,0,-0.29,-1.26,-0.01,-0.87,-15.11,-0.07,-2.12,-2.99,-2.56
Dawson Knox,BUF,TE,12,LAC,0,0,0,0,0,0,1.75,19.72,0.21,0,0,0,0,0,0,1,2,1,3.23,4.98,4.11,6.2,7.2,6.7,0,0,0,0,0,0,-0.75,-17.72,0.79,2.97,2.22,2.6
Dan Arnold,ARI,TE,12,NE,0,0,0,0,0,0,1.97,21.82,0.18,0,0,0,0,0,0,1,17,0,3.26,5.23,4.24,1.7,2.7,2.2,0,0,0,0,0,0,-0.97,-4.82,-0.18,-1.56,-2.53,-2.04
Gerald Everett,LA,TE,12,SF,0,0,0,0,0,0,2.03,20.17,0.16,0,0,0,0,0,0,2,16,0,2.98,5.01,4,1.6,3.6,2.6,0,0,0,0,0,0,-0.03,-4.17,-0.16,-1.38,-1.41,-1.4
Ian Thomas,CAR,TE,12,MIN,0,0,0,0,0,0,1.93,18.34,0.15,0,0,0,0,0,0,1,4,0,2.73,4.66,3.7,0.4,1.4,0.9,0,0,0,0,0,0,-0.93,-14.34,-0.15,-2.33,-3.26,-2.8
Ross Dwelley,SF,TE,12,LA,0,0,0,0,0,0,1.64,18.05,0.13,0,0,0,0,0,0,1,3,0,2.58,4.22,3.4,0.3,1.3,0.8,0,0,0,0,0,0,-0.64,-15.05,-0.13,-2.28,-2.92,-2.6
Drew Sample,CIN,TE,12,NYG,0,0,0,0,0,0,1.6,16.83,0.11,0,0,0,0,0,0,4,40,0,2.34,3.94,3.14,4,8,6,0,0,0,0,0,0,2.4,23.17,-0.11,1.66,4.06,2.86
Cole Kmet,CHI,TE,12,GB,0,0,0,0,0,0,1.42,14.86,0.09,0,0,0,0,0,0,1,8,0,2.03,3.45,2.74,0.8,1.8,1.3,0,0,0,0,0,0,-0.42,-6.86,-0.09,-1.23,-1.65,-1.44
Durham Smythe,MIA,TE,12,NYJ,0,0,0,0,0,0,1.13,11.14,0.12,0,0,0,0,0,0,3,19,0,1.83,2.96,2.4,1.9,4.9,3.4,0,0,0,0,0,0,1.87,7.86,-0.12,0.07,1.94,1
Cameron Brate,TB,TE,12,KC,0,0,0,0,0,0,0.99,8.41,0.1,0,0,0,0,0,0,4,34,0,1.44,2.43,1.94,3.4,7.4,5.4,0,0,0,0,0,0,3.01,25.59,-0.1,1.96,4.97,3.47
Chris Manhertz,CAR,TE,12,MIN,0,0,0,0,0,0,0.83,8.8,0.06,0,0,0,0,0,0,1,11,0,1.24,2.07,1.66,1.1,2.1,1.6,0,0,0,0,0,0,0.17,2.2,-0.06,-0.14,0.03,-0.05
Jace Sternberger,GB,TE,12,CHI,0,0,0,0,0,0,0.69,6.85,0.07,0,0,0,0,0,0,1,5,0,1.1,1.79,1.44,0.5,1.5,1,0,0,0,0,0,0,0.31,-1.85,-0.07,-0.6,-0.29,-0.45
