PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Travis Kelce,KC,TE,6,BUF,0,0,0,0.02,0.07,0,6.44,75.67,0.72,0,0,0,0,0,0,5,65,2,11.89,18.33,15.11,18.5,23.5,21,0,0,0,-0.02,-0.07,0,-1.44,-10.67,1.28,6.61,5.17,5.89
George Kittle,SF,TE,6,LA,0,0,0,0.33,1.82,0.02,6.06,71.9,0.46,0,0,0,0,0,0,7,109,1,10.25,16.31,13.28,16.9,23.9,20.4,0,0,0,-0.33,-1.82,-0.02,0.94,37.1,0.54,6.65,7.59,7.12
Mark Andrews,BAL,TE,6,PHI,0,0,0,0,0,0,4.46,59.4,0.58,0,0,0,0,0,0,2,21,0,9.42,13.88,11.65,2.1,4.1,3.1,0,0,0,0,0,0,-2.46,-38.4,-0.58,-7.32,-9.78,-8.55
Jonnu Smith,TEN,TE,6,HOU,0,0,0,0.01,0.06,0,4.71,56.02,0.48,0,0,0,0,0,0,1,13,0,8.49,13.2,10.84,1.3,2.3,1.8,0,0,0,-0.01,-0.06,0,-3.71,-43.02,-0.48,-7.19,-10.9,-9.04
Zach Ertz,PHI,TE,6,BAL,0,0,0,0,0,0,5.8,59.14,0.36,0,0,0,0,0,0,4,33,0,8.07,13.87,10.97,3.3,7.3,5.3,0,0,0,0,0,0,-1.8,-26.14,-0.36,-4.77,-6.57,-5.67
Evan Engram,NYG,TE,6,WSH,0,0,0,0.67,3.18,0.03,4.48,49.66,0.41,0,0,0,0,0,0,2,30,0,7.92,12.4,10.16,3,5,4,0,0,0,-0.67,-3.18,-0.03,-2.48,-19.66,-0.41,-4.92,-7.4,-6.16
TJ Hockenson,DET,TE,6,JAC,0,0,0,0,0,0,3.46,43.05,0.44,0,0,0,0,0,0,2,17,1,6.94,10.4,8.67,7.7,9.7,8.7,0,0,0,0,0,0,-1.46,-26.05,0.56,0.76,-0.7,0.03
Eric Ebron,PIT,TE,6,CLE,0,0,0,0,0,0,3.48,42.46,0.37,0,0,0,0,0,0,2,9,0,6.47,9.95,8.21,0.9,2.9,1.9,0,0,0,0,0,0,-1.48,-33.46,-0.37,-5.57,-7.05,-6.31
Austin Hooper,CLE,TE,6,PIT,0,0,0,0,0,0,4,40.85,0.34,0,0,0,0,0,0,5,52,0,6.12,10.12,8.12,5.2,10.2,7.7,0,0,0,0,0,0,1,11.15,-0.34,-0.92,0.08,-0.42
Robert Tonyan,GB,TE,6,TB,0,0,0,0,0,0,3.02,36.46,0.35,0,0,0,0,0,0,3,25,0,5.75,8.77,7.26,2.5,5.5,4,0,0,0,0,0,0,-0.02,-11.46,-0.35,-3.25,-3.27,-3.26
