PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Gardner Minshew,JAC,QB,3,MIA,268.19,2.02,0.74,5.15,21.58,0.23,0,0,0,275,0,0,3,22,0,0,0,0,21.61,21.61,21.61,13.2,13.2,13.2,6.81,-2.02,-0.74,-2.15,0.42,-0.23,0,0,0,-8.41,-8.41,-8.41
Ryan Fitzpatrick,MIA,QB,3,JAC,274,1.76,1.17,2.69,11.68,0.11,0,0,0,160,2,0,6,39,1,1,0,0,18.66,18.66,18.66,24.3,25.3,24.8,-114,0.24,-1.17,3.31,27.32,0.89,1,0,0,5.64,6.64,6.14
James Robinson,JAC,RB,3,MIA,0,0,0,16.05,69.54,0.49,2.06,16.31,0.12,0,0,0,11,46,2,6,83,0,12.24,14.3,13.27,24.9,30.9,27.9,0,0,0,-5.05,-23.54,1.51,3.94,66.69,-0.12,12.66,16.6,14.63
Myles Gaskin,MIA,RB,3,JAC,0,0,0,7.78,34.1,0.23,2.53,19.55,0.13,0,0,0,22,66,0,5,29,0,7.52,10.05,8.78,9.5,14.5,12,0,0,0,14.22,31.9,-0.23,2.47,9.45,-0.13,1.98,4.45,3.22
Jordan Howard,MIA,RB,3,JAC,0,0,0,7.46,32.09,0.28,0.85,6.7,0.04,0,0,0,3,1,1,0,0,0,5.8,6.65,6.22,6.1,6.1,6.1,0,0,0,-4.46,-31.09,0.72,-0.85,-6.7,-0.04,0.3,-0.55,-0.12
Chris Thompson,JAC,RB,3,MIA,0,0,0,2.24,9.89,0.06,2.83,22.28,0.18,0,0,0,2,3,0,5,35,0,4.66,7.49,6.08,3.8,8.8,6.3,0,0,0,-0.24,-6.89,-0.06,2.17,12.72,-0.18,-0.86,1.31,0.22
Matt Breida,MIA,RB,3,JAC,0,0,0,4.68,22.06,0.12,0.92,7.5,0.05,0,0,0,3,4,0,0,0,0,3.98,4.9,4.44,0.4,0.4,0.4,0,0,0,-1.68,-18.06,-0.12,-0.92,-7.5,-0.05,-3.58,-4.5,-4.04
DeVante Parker,MIA,WR,3,JAC,0,0,0,0,0,0,4.85,69.35,0.38,0,0,0,0,0,0,5,69,0,9.22,14.07,11.64,6.9,11.9,9.4,0,0,0,0,0,0,0.15,-0.35,-0.38,-2.32,-2.17,-2.24
Keelan Cole,JAC,WR,3,MIA,0,0,0,0.14,0.88,0.01,4.52,62.54,0.46,0,0,0,0,0,0,4,43,0,9.16,13.68,11.42,4.3,8.3,6.3,0,0,0,-0.14,-0.88,-0.01,-0.52,-19.54,-0.46,-4.86,-5.38,-5.12
Laviska Shenault,JAC,WR,3,MIA,0,0,0,1.97,12.83,0.07,3.72,49.84,0.38,0,0,0,1,1,0,5,33,0,8.97,12.69,10.83,3.4,8.4,5.9,0,0,0,-0.97,-11.83,-0.07,1.28,-16.84,-0.38,-5.57,-4.29,-4.93
