PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Carson Wentz,PHI,QB,7,NYG,225.85,1.74,0.69,3.94,17.21,0.21,0,0,0,359,2,0,7,15,1,0,0,0,18.28,18.28,18.28,29.86,29.86,29.86,133.15,0.26,-0.69,3.06,-2.21,0.79,0,0,0,11.58,11.58,11.58
Daniel Jones,NYG,QB,7,PHI,218.34,1.34,0.8,4.63,21.82,0.22,0,0,0,187,2,0,3,93,0,0,0,0,16.8,16.8,16.8,24.78,24.78,24.78,-31.34,0.66,-0.8,-1.63,71.18,-0.22,0,0,0,7.98,7.98,7.98
Jalen Hurts,PHI,QB,7,NYG,0,0,0,0.52,2.35,0.03,0,0,0,0,0,0,2,2,0,0,0,0,0.42,0.42,0.42,0.2,0.2,0.2,0,0,0,1.48,-0.35,-0.03,0,0,0,-0.22,-0.22,-0.22
Devonta Freeman,NYG,RB,7,PHI,0,0,0,15.37,62.55,0.41,2.36,16.58,0.08,0,0,0,3,8,0,0,0,0,10.85,13.21,12.03,0.8,0.8,0.8,0,0,0,-12.37,-54.55,-0.41,-2.36,-16.58,-0.08,-10.05,-12.41,-11.23
Boston Scott,PHI,RB,7,NYG,0,0,0,12.01,48.29,0.44,2.4,19.99,0.07,0,0,0,12,46,0,3,46,1,9.89,12.29,11.09,15.2,18.2,16.7,0,0,0,-0.01,-2.29,-0.44,0.6,26.01,0.93,5.31,5.91,5.61
Corey Clement,PHI,RB,7,NYG,0,0,0,9.14,38.22,0.19,2.26,17.11,0.15,0,0,0,2,9,0,1,12,0,7.57,9.83,8.7,2.1,3.1,2.6,0,0,0,-7.14,-29.22,-0.19,-1.26,-5.11,-0.15,-5.47,-6.73,-6.1
Dion Lewis,NYG,RB,7,PHI,0,0,0,2.19,9.21,0.05,1.49,9.36,0.04,0,0,0,3,23,0,0,0,0,2.4,3.89,3.14,2.3,2.3,2.3,0,0,0,0.81,13.79,-0.05,-1.49,-9.36,-0.04,-0.1,-1.59,-0.85
Wayne Gallman,NYG,RB,7,PHI,0,0,0,0.97,4.05,0.01,0.25,1.56,0.01,0,0,0,10,34,1,5,20,0,0.68,0.93,0.8,11.4,16.4,13.9,0,0,0,9.03,29.95,0.99,4.75,18.44,-0.01,10.72,15.47,13.1
Jason Huntley,PHI,RB,7,NYG,0,0,0,0.05,0.22,0,0,0,0,0,0,0,2,13,0,0,0,0,0.02,0.02,0.02,1.3,1.3,1.3,0,0,0,1.95,12.78,0,0,0,0,1.28,1.28,1.28
Darius Slayton,NYG,WR,7,PHI,0,0,0,0.47,2.64,0.02,4.09,58.32,0.34,0,0,0,0,0,0,2,23,0,8.26,12.35,10.3,2.3,4.3,3.3,0,0,0,-0.47,-2.64,-0.02,-2.09,-35.32,-0.34,-5.96,-8.05,-7
Travis Fulgham,PHI,WR,7,NYG,0,0,0,0,0,0,3.62,46.45,0.32,0,0,0,0,0,0,5,73,0,6.56,10.18,8.37,7.3,12.3,9.8,0,0,0,0,0,0,1.38,26.55,-0.32,0.74,2.12,1.43
DeSean Jackson,PHI,WR,7,NYG,0,0,0,0.23,1.32,0.02,2.95,42.96,0.28,0,0,0,1,12,0,3,34,0,6.23,9.18,7.7,4.6,7.6,6.1,0,0,0,0.77,10.68,-0.02,0.05,-8.96,-0.28,-1.63,-1.58,-1.61
Sterling Shepard,NYG,WR,7,PHI,0,0,0,0.25,1.41,0.01,3.83,38.75,0.23,0,0,0,0,0,0,6,59,1,5.46,9.29,7.38,11.9,17.9,14.9,0,0,0,-0.25,-1.41,-0.01,2.17,20.25,0.77,6.44,8.61,7.52
Greg Ward,PHI,WR,7,NYG,0,0,0,0.06,0.32,0,3.28,32.31,0.27,0,0,0,0,0,0,5,42,1,4.88,8.16,6.52,10.2,15.2,12.7,0,0,0,-0.06,-0.32,0,1.72,9.69,0.73,5.32,7.04,6.18
Golden Tate,NYG,WR,7,PHI,0,0,0,0,0,0,3.24,34.81,0.17,0,0,0,0,0,0,1,39,1,4.5,7.74,6.12,9.9,10.9,10.4,0,0,0,0,0,0,-2.24,4.19,0.83,5.4,3.16,4.28
John Hightower,PHI,WR,7,NYG,0,0,0,0,0,0,2.39,29.48,0.2,0,0,0,0,0,0,1,59,0,4.15,6.54,5.35,5.9,6.9,6.4,0,0,0,0,0,0,-1.39,29.52,-0.2,1.75,0.36,1.05
JJ Arcega-Whiteside,PHI,WR,7,NYG,0,0,0,0,0,0,0.49,6.36,0.04,0,0,0,0,0,0,1,8,0,0.88,1.37,1.12,0.8,1.8,1.3,0,0,0,0,0,0,0.51,1.64,-0.04,-0.08,0.43,0.18
Evan Engram,NYG,TE,7,PHI,0,0,0,0.47,2.63,0.02,3.69,40.49,0.29,0,0,0,2,3,0,6,46,0,6.17,9.86,8.02,4.9,10.9,7.9,0,0,0,1.53,0.37,-0.02,2.31,5.51,-0.29,-1.27,1.04,-0.12
Richard Rodgers,PHI,TE,7,NYG,0,0,0,0,0,0,3.32,30.73,0.41,0,0,0,0,0,0,6,85,0,5.53,8.85,7.19,8.5,14.5,11.5,0,0,0,0,0,0,2.68,54.27,-0.41,2.97,5.65,4.31
Graham Gano,NYG,K,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,7.9,7.9,3,3,3,0,0,0,0,0,0,0,0,0,-4.9,-4.9,-4.9
Jake Elliott,PHI,K,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,7.42,7.42,4,4,4,0,0,0,0,0,0,0,0,0,-3.42,-3.42,-3.42
Russell Wilson,SEA,QB,7,ARI,281.48,2.58,0.66,4.55,23.88,0.11,0,0,0,388,3,0,6,84,0,0,0,0,23.97,23.97,23.97,35.92,35.92,35.92,106.52,0.42,-0.66,1.45,60.12,-0.11,0,0,0,11.95,11.95,11.95
Josh Allen,BUF,QB,7,NYJ,258.4,1.76,0.8,7.72,36.97,0.58,0,0,0,307,0,0,9,63,0,0,0,0,23.75,23.75,23.75,18.58,18.58,18.58,48.6,-1.76,-0.8,1.28,26.03,-0.58,0,0,0,-5.17,-5.17,-5.17
Deshaun Watson,HOU,QB,7,GB,290.57,2.02,0.83,4.67,22.65,0.29,0,0,0,309,2,0,7,38,0,0,0,0,22.88,22.88,22.88,24.16,24.16,24.16,18.43,-0.02,-0.83,2.33,15.35,-0.29,0,0,0,1.28,1.28,1.28
Aaron Rodgers,GB,QB,7,HOU,250.77,2.51,0.38,2.36,11.78,0.16,0,0,0,283,4,0,0,0,0,0,0,0,21.83,21.83,21.83,27.32,27.32,27.32,32.23,1.49,-0.38,-2.36,-11.78,-0.16,0,0,0,5.49,5.49,5.49
Kyler Murray,ARI,QB,7,SEA,252.59,1.73,0.84,6.21,29.92,0.41,0,0,0,360,3,0,14,67,1,0,0,0,21.64,21.64,21.64,39.1,39.1,39.1,107.41,1.27,-0.84,7.79,37.08,0.59,0,0,0,17.46,17.46,17.46
Patrick Mahomes,KC,QB,7,DEN,271.16,1.82,0.65,4.71,21.36,0.21,0,0,0,200,1,0,0,0,0,0,0,0,20.87,20.87,20.87,12,12,12,-71.16,-0.82,-0.65,-4.71,-21.36,-0.21,0,0,0,-8.87,-8.87,-8.87
