PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Patrick Mahomes,KC,QB,13,DEN,288.04,2.56,0.61,4.26,18.91,0.27,0,0,0,318,1,0,3,27,0,0,0,0,24.66,24.66,24.66,19.42,19.42,19.42,29.96,-1.56,-0.61,-1.26,8.09,-0.27,0,0,0,-5.24,-5.24,-5.24
Russell Wilson,SEA,QB,13,NYG,269.67,2.38,0.63,5.02,25.92,0.16,0,0,0,263,1,0,7,45,0,0,0,0,23.23,23.23,23.23,19.02,19.02,19.02,-6.67,-1.38,-0.63,1.98,19.08,-0.16,0,0,0,-4.21,-4.21,-4.21
Kyler Murray,ARI,QB,13,LA,252.55,1.41,0.7,7.95,38.77,0.46,0,0,0,173,3,0,5,15,0,0,0,0,21.68,21.68,21.68,20.42,20.42,20.42,-79.55,1.59,-0.7,-2.95,-23.77,-0.46,0,0,0,-1.26,-1.26,-1.26
Deshaun Watson,HOU,QB,13,IND,264.35,1.75,0.75,6.52,29.36,0.33,0,0,0,341,0,0,7,38,1,0,0,0,21.74,21.74,21.74,23.44,23.44,23.44,76.65,-1.75,-0.75,0.48,8.64,0.67,0,0,0,1.7,1.7,1.7
Justin Herbert,LAC,QB,13,NE,287.22,1.86,0.78,3.5,14.9,0.2,0,0,0,209,0,0,0,0,0,0,0,0,20.84,20.84,20.84,8.36,8.36,8.36,-78.22,-1.86,-0.78,-3.5,-14.9,-0.2,0,0,0,-12.48,-12.48,-12.48
Aaron Rodgers,GB,QB,13,PHI,259.26,1.98,0.36,2.5,12.7,0.11,0,0,0,295,3,0,1,0,0,0,0,0,19.86,19.86,19.86,23.8,23.8,23.8,35.74,1.02,-0.36,-1.5,-12.7,-0.11,0,0,0,3.94,3.94,3.94
Derek Carr,LV,QB,13,NYJ,273.3,2.03,0.58,2.1,8.13,0.12,0,0,0,381,3,0,2,5,1,0,0,0,20.01,20.01,20.01,33.74,33.74,33.74,107.7,0.97,-0.58,-0.1,-3.13,0.88,0,0,0,13.73,13.73,13.73
Kirk Cousins,MIN,QB,13,JAC,261.29,2.07,0.67,1.85,7.27,0.13,0,0,0,305,3,0,3,12,0,0,0,0,19.57,19.57,19.57,25.4,25.4,25.4,43.71,0.93,-0.67,1.15,4.73,-0.13,0,0,0,5.83,5.83,5.83
Taysom Hill,NO,QB,13,ATL,230.94,1.16,0.99,7.87,35.55,0.53,0,0,0,232,2,0,14,83,0,0,0,0,19.62,19.62,19.62,25.58,25.58,25.58,1.06,0.84,-0.99,6.13,47.45,-0.53,0,0,0,5.96,5.96,5.96
Cam Newton,NE,QB,13,LAC,220.77,1.29,0.88,7.51,34.9,0.42,0,0,0,69,1,0,14,48,2,0,0,0,19.12,19.12,19.12,23.56,23.56,23.56,-151.77,-0.29,-0.88,6.49,13.1,1.58,0,0,0,4.44,4.44,4.44
Ryan Tannehill,TEN,QB,13,CLE,264.73,1.74,0.79,3.12,14.03,0.13,0,0,0,389,3,0,1,2,0,0,0,0,18.94,18.94,18.94,27.76,27.76,27.76,124.27,1.26,-0.79,-2.12,-12.03,-0.13,0,0,0,8.82,8.82,8.82
Jared Goff,LA,QB,13,ARI,261.89,1.79,0.8,2.8,11.54,0.15,0,0,0,351,1,0,2,3,1,0,0,0,18.89,18.89,18.89,24.34,24.34,24.34,89.11,-0.79,-0.8,-0.8,-8.54,0.85,0,0,0,5.45,5.45,5.45
Tua Tagovailoa,MIA,QB,13,CIN,230.39,1.82,0.66,3.22,13.87,0.19,0,0,0,296,1,0,2,5,0,0,0,0,18.36,18.36,18.36,16.34,16.34,16.34,65.61,-0.82,-0.66,-1.22,-8.87,-0.19,0,0,0,-2.02,-2.02,-2.02
Mitchell Trubisky,CHI,QB,13,DET,243.77,1.68,0.98,4.11,18.07,0.16,0,0,0,267,1,0,3,6,0,0,0,0,18.26,18.26,18.26,15.28,15.28,15.28,23.23,-0.68,-0.98,-1.11,-12.07,-0.16,0,0,0,-2.98,-2.98,-2.98
Philip Rivers,IND,QB,13,HOU,271.54,1.89,1.01,0.7,2.22,0.03,0,0,0,285,2,0,0,0,0,0,0,0,17.81,17.81,17.81,19.4,19.4,19.4,13.46,0.11,-1.01,-0.7,-2.22,-0.03,0,0,0,1.59,1.59,1.59
Baker Mayfield,CLE,QB,13,TEN,239.66,1.76,0.91,1.79,7.43,0.09,0,0,0,334,4,0,3,6,0,1,6,0,17,17,17,30.56,31.56,31.06,94.34,2.24,-0.91,1.21,-1.43,-0.09,1,6,0,13.56,14.56,14.06
Matthew Stafford,DET,QB,13,CHI,254.2,1.46,0.61,2.07,8,0.08,0,0,0,402,3,0,1,1,0,0,0,0,16.68,16.68,16.68,28.18,28.18,28.18,147.8,1.54,-0.61,-1.07,-7,-0.08,0,0,0,11.5,11.5,11.5
Carson Wentz,PHI,QB,13,GB,242.39,1.51,0.75,3.46,14.21,0.13,0,0,0,79,0,0,3,18,0,0,0,0,17.19,17.19,17.19,4.96,4.96,4.96,-163.39,-1.51,-0.75,-0.46,3.79,-0.13,0,0,0,-12.23,-12.23,-12.23
Mike Glennon,JAC,QB,13,MIN,265.58,1.52,1.1,1.72,7,0.07,0,0,0,280,1,0,3,9,0,0,0,0,16.72,16.72,16.72,16.1,16.1,16.1,14.42,-0.52,-1.1,1.28,2,-0.07,0,0,0,-0.62,-0.62,-0.62
Matt Ryan,ATL,QB,13,NO,265.96,1.38,0.66,1.02,3.88,0.03,0,0,0,273,1,0,0,0,0,0,0,0,16.07,16.07,16.07,14.92,14.92,14.92,7.04,-0.38,-0.66,-1.02,-3.88,-0.03,0,0,0,-1.15,-1.15,-1.15
Sam Darnold,NYJ,QB,13,LV,224.61,1.49,0.91,2.59,10.73,0.15,0,0,0,186,2,0,3,26,1,0,0,0,16.01,16.01,16.01,24.04,24.04,24.04,-38.61,0.51,-0.91,0.41,15.27,0.85,0,0,0,8.03,8.03,8.03
