PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Lamar Jackson,BAL,QB,2,HOU,253.98,1.97,0.66,10.17,50.45,0.41,0,0,0,204,1,0,13,57,0,0,0,0,24.88,24.88,24.88,17.86,17.86,17.86,-49.98,-0.97,-0.66,2.83,6.55,-0.41,0,0,0,-7.02,-7.02,-7.02
Dak Prescott,DAL,QB,2,ATL,293.64,2.04,0.65,3.58,16.19,0.25,0,0,0,450,1,0,5,18,3,0,0,0,22.37,22.37,22.37,41.8,41.8,41.8,156.36,-1.04,-0.65,1.42,1.81,2.75,0,0,0,19.43,19.43,19.43
Patrick Mahomes,KC,QB,2,LAC,297.92,2.23,0.7,3.18,13.89,0.12,0,0,0,302,2,0,6,54,0,0,0,0,22.25,22.25,22.25,25.48,25.48,25.48,4.08,-0.23,-0.7,2.82,40.11,-0.12,0,0,0,3.23,3.23,3.23
Kyler Murray,ARI,QB,2,WSH,275.72,1.93,0.71,5.29,26.27,0.26,0,0,0,286,1,0,8,67,2,0,0,0,22.23,22.23,22.23,34.14,34.14,34.14,10.28,-0.93,-0.71,2.71,40.73,1.74,0,0,0,11.91,11.91,11.91
Russell Wilson,SEA,QB,2,NE,270.53,1.94,0.55,4.22,23.28,0.09,0,0,0,288,5,0,5,39,0,0,0,0,20.9,20.9,20.9,35.42,35.42,35.42,17.47,3.06,-0.55,0.78,15.72,-0.09,0,0,0,14.52,14.52,14.52
Matt Ryan,ATL,QB,2,DAL,319.1,1.98,0.73,1.95,7,0.05,0,0,0,273,4,0,4,16,0,0,0,0,20.95,20.95,20.95,28.52,28.52,28.52,-46.1,2.02,-0.73,2.05,9,-0.05,0,0,0,7.57,7.57,7.57
Josh Allen,BUF,QB,2,MIA,213.7,1.39,0.75,8.98,41.49,0.55,0,0,0,417,4,0,2,20,0,0,0,0,20.81,20.81,20.81,34.68,34.68,34.68,203.3,2.61,-0.75,-6.98,-21.49,-0.55,0,0,0,13.87,13.87,13.87
Deshaun Watson,HOU,QB,2,BAL,273.19,1.51,0.82,5.46,25.38,0.2,0,0,0,275,1,0,5,17,0,0,0,0,19.89,19.89,19.89,16.7,16.7,16.7,1.81,-0.51,-0.82,-0.46,-8.38,-0.2,0,0,0,-3.19,-3.19,-3.19
Aaron Rodgers,GB,QB,2,DET,256.66,1.83,0.39,2.47,12.14,0.13,0,0,0,240,2,0,2,12,0,1,-6,0,19.19,19.19,19.19,18.2,19.2,18.7,-16.66,0.17,-0.39,-0.47,-0.14,-0.13,1,-6,0,-0.99,0.01,-0.49
Matthew Stafford,DET,QB,2,GB,290.95,1.75,0.66,1.23,4.78,0.05,0,0,0,244,2,0,1,4,0,0,0,0,18.76,18.76,18.76,18.16,18.16,18.16,-46.95,0.25,-0.66,-0.23,-0.78,-0.05,0,0,0,-0.6,-0.6,-0.6
Kirk Cousins,MIN,QB,2,IND,269.71,1.68,0.58,2.05,7.94,0.1,0,0,0,127,0,0,0,0,0,0,0,0,18.32,18.32,18.32,5.08,5.08,5.08,-142.71,-1.68,-0.58,-2.05,-7.94,-0.1,0,0,0,-13.24,-13.24,-13.24
Tom Brady,TB,QB,2,CAR,242.14,2.01,0.52,1.7,3.73,0.08,0,0,0,217,1,0,1,0,0,0,0,0,18.06,18.06,18.06,12.68,12.68,12.68,-25.14,-1.01,-0.52,-0.7,-3.73,-0.08,0,0,0,-5.38,-5.38,-5.38
Drew Brees,NO,QB,2,LV,271.94,1.83,0.67,1.4,3.5,0.03,0,0,0,312,1,0,0,0,0,0,0,0,18.06,18.06,18.06,16.48,16.48,16.48,40.06,-0.83,-0.67,-1.4,-3.5,-0.03,0,0,0,-1.58,-1.58,-1.58
Ryan Tannehill,TEN,QB,2,JAC,258.58,1.51,0.78,4.09,18.1,0.18,0,0,0,239,4,0,2,14,0,0,0,0,18.49,18.49,18.49,26.96,26.96,26.96,-19.58,2.49,-0.78,-2.09,-4.1,-0.18,0,0,0,8.47,8.47,8.47
Philip Rivers,IND,QB,2,MIN,275.61,1.96,0.97,0.7,2.09,0.02,0,0,0,214,1,0,1,3,0,0,0,0,18.22,18.22,18.22,12.86,12.86,12.86,-61.61,-0.96,-0.97,0.3,0.91,-0.02,0,0,0,-5.36,-5.36,-5.36
Jared Goff,LA,QB,2,PHI,274.69,1.61,0.83,2.17,8.38,0.1,0,0,0,267,3,0,4,16,0,0,0,0,18.04,18.04,18.04,24.28,24.28,24.28,-7.69,1.39,-0.83,1.83,7.62,-0.1,0,0,0,6.24,6.24,6.24
