PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Kyler Murray,ARI,QB,11,SEA,284.13,1.77,0.76,8.04,39.49,0.55,0,0,0,269,2,0,5,15,0,0,0,0,24.93,24.93,24.93,20.26,20.26,20.26,-15.13,0.23,-0.76,-3.04,-24.49,-0.55,0,0,0,-4.67,-4.67,-4.67
Russell Wilson,SEA,QB,11,ARI,280.06,2.7,0.67,3.92,21.63,0.11,0,0,0,197,2,0,9,43,0,0,0,0,24.16,24.16,24.16,20.18,20.18,20.18,-83.06,-0.7,-0.67,5.08,21.37,-0.11,0,0,0,-3.98,-3.98,-3.98
Carlos Hyde,SEA,RB,11,ARI,0,0,0,13.53,56.09,0.4,3.05,18.03,0.19,0,0,0,14,79,1,2,16,0,10.95,14,12.48,15.5,17.5,16.5,0,0,0,0.47,22.91,0.6,-1.05,-2.03,-0.19,4.55,3.5,4.03
Kenyan Drake,ARI,RB,11,SEA,0,0,0,12.55,57.25,0.46,1.3,10.67,0.06,0,0,0,11,29,1,4,31,0,9.91,11.21,10.56,12,16,14,0,0,0,-1.55,-28.25,0.54,2.7,20.33,-0.06,2.09,4.79,3.44
Chase Edmonds,ARI,RB,11,SEA,0,0,0,6.56,27.44,0.22,3.25,25.06,0.15,0,0,0,2,13,0,4,36,1,7.47,10.72,9.09,10.9,14.9,12.9,0,0,0,-4.56,-14.44,-0.22,0.75,10.94,0.85,3.43,4.18,3.81
DeeJay Dallas,SEA,RB,11,ARI,0,0,0,5.86,24.45,0.16,1.43,10.26,0.12,0,0,0,1,13,0,2,19,0,5.15,6.58,5.86,3.2,5.2,4.2,0,0,0,-4.86,-11.45,-0.16,0.57,8.74,-0.12,-1.95,-1.38,-1.66
Bo Scarbrough,SEA,RB,11,ARI,0,0,0,0.72,3.05,0.02,0.36,2.62,0.03,0,0,0,6,31,0,0,0,0,0.87,1.23,1.05,3.1,3.1,3.1,0,0,0,5.28,27.95,-0.02,-0.36,-2.62,-0.03,2.23,1.87,2.05
DeAndre Hopkins,ARI,WR,11,SEA,0,0,0,0,0,0,7.58,101.04,0.57,0,0,0,0,0,0,5,51,0,13.52,21.1,17.31,5.1,10.1,7.6,0,0,0,0,0,0,-2.58,-50.04,-0.57,-8.42,-11,-9.71
DK Metcalf,SEA,WR,11,ARI,0,0,0,0,0,0,6.36,90.74,0.78,0,0,0,0,0,0,3,46,1,13.75,20.11,16.93,10.6,13.6,12.1,0,0,0,0,0,0,-3.36,-44.74,0.22,-3.15,-6.51,-4.83
Tyler Lockett,SEA,WR,11,ARI,0,0,0,0,0,0,6.98,80.96,0.66,0,0,0,0,0,0,9,67,1,12.06,19.04,15.55,12.7,21.7,17.2,0,0,0,0,0,0,2.02,-13.96,0.34,0.64,2.66,1.65
Christian Kirk,ARI,WR,11,SEA,0,0,0,0.01,0.05,0,4.18,52.34,0.33,0,0,0,0,0,0,4,50,0,7.22,11.4,9.31,5,9,7,0,0,0,-0.01,-0.05,0,-0.18,-2.34,-0.33,-2.22,-2.4,-2.31
Larry Fitzgerald,ARI,WR,11,SEA,0,0,0,0,0,0,3.68,37.3,0.25,0,0,0,0,0,0,8,62,0,5.23,8.91,7.07,6.2,14.2,10.2,0,0,0,0,0,0,4.32,24.7,-0.25,0.97,5.29,3.13
David Moore,SEA,WR,11,ARI,0,0,0,0,0,0,2.49,34.9,0.29,0,0,0,0,0,0,2,5,0,5.23,7.72,6.48,0.5,2.5,1.5,0,0,0,0,0,0,-0.49,-29.9,-0.29,-4.73,-5.22,-4.98
