PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Mitchell Trubisky,CHI,QB,1,DET,230.2,1.36,0.78,4.56,19.64,0.15,0,0,0,242,3,0,3,26,0,0,0,0,16.73,16.73,16.73,24.28,24.28,24.28,11.8,1.64,-0.78,-1.56,6.36,-0.15,0,0,0,7.55,7.55,7.55
Gardner Minshew,JAC,QB,1,IND,254.84,1.29,0.74,3.78,15.5,0.11,0,0,0,173,3,0,4,22,0,0,0,0,16.82,16.82,16.82,21.12,21.12,21.12,-81.84,1.71,-0.74,0.22,6.5,-0.11,0,0,0,4.3,4.3,4.3
Tyrod Taylor,LAC,QB,1,CIN,211.44,1.14,0.63,5.17,24.99,0.25,0,0,0,0,0,0,0,0,0,2,7,0,16.39,16.39,16.39,0.7,2.7,1.7,-211.44,-1.14,-0.63,-5.17,-24.99,-0.25,2,7,0,-15.69,-13.69,-14.69
Daniel Jones,NYG,QB,1,PIT,239.14,1.41,0.82,3.89,16.01,0.14,0,0,0,279,2,0,3,23,0,0,0,0,16.83,16.83,16.83,21.46,21.46,21.46,39.86,0.59,-0.82,-0.89,6.99,-0.14,0,0,0,4.63,4.63,4.63
Philip Rivers,IND,QB,1,JAC,252.81,1.67,0.88,0.48,1.48,0.02,0,0,0,363,1,0,1,3,0,0,0,0,16.18,16.18,16.18,18.82,18.82,18.82,110.19,-0.67,-0.88,0.52,1.52,-0.02,0,0,0,2.64,2.64,2.64
Ryan Tannehill,TEN,QB,1,DEN,234.69,1.21,0.76,4.1,18.23,0.15,0,0,0,249,2,0,3,14,0,0,0,0,16.19,16.19,16.19,19.36,19.36,19.36,14.31,0.79,-0.76,-1.1,-4.23,-0.15,0,0,0,3.17,3.17,3.17
Joe Burrow,CIN,QB,1,LAC,251.32,1.29,0.86,2.44,10.06,0.08,0,0,0,193,0,0,8,46,1,0,0,0,15.84,15.84,15.84,18.32,18.32,18.32,-58.32,-1.29,-0.86,5.56,35.94,0.92,0,0,0,2.48,2.48,2.48
Baker Mayfield,CLE,QB,1,BAL,250.44,1.33,0.98,1.8,7.21,0.07,0,0,0,189,1,0,1,4,0,0,0,0,15.5,15.5,15.5,11.96,11.96,11.96,-61.44,-0.33,-0.98,-0.8,-3.21,-0.07,0,0,0,-3.54,-3.54,-3.54
Drew Lock,DEN,QB,1,TEN,243.54,1.19,0.68,1.9,7.92,0.05,0,0,0,216,1,0,3,5,0,0,0,0,14.91,14.91,14.91,13.14,13.14,13.14,-27.54,-0.19,-0.68,1.1,-2.92,-0.05,0,0,0,-1.77,-1.77,-1.77
Sam Darnold,NYJ,QB,1,BUF,224.05,1.15,0.72,2.67,11.08,0.09,0,0,0,215,1,0,1,6,0,0,0,0,14.49,14.49,14.49,13.2,13.2,13.2,-9.05,-0.15,-0.72,-1.67,-5.08,-0.09,0,0,0,-1.29,-1.29,-1.29
Ryan Fitzpatrick,MIA,QB,1,NE,239.13,1.16,1.14,2.39,10.35,0.08,0,0,0,191,0,0,5,21,0,0,0,0,14.58,14.58,14.58,9.74,9.74,9.74,-48.13,-1.16,-1.14,2.61,10.65,-0.08,0,0,0,-4.84,-4.84,-4.84
Dwayne Haskins,WSH,QB,1,PHI,226.57,1.26,0.74,1.32,5.68,0.04,0,0,0,178,1,0,4,23,0,0,0,0,14.17,14.17,14.17,13.42,13.42,13.42,-48.57,-0.26,-0.74,2.68,17.32,-0.04,0,0,0,-0.75,-0.75,-0.75
