PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Sam Darnold,NYJ,QB,4,DEN,224.99,1.5,0.88,3.33,13.37,0.14,0,0,0,230,0,0,6,84,1,0,0,0,16.3,16.3,16.3,23.6,23.6,23.6,5.01,-1.5,-0.88,2.67,70.63,0.86,0,0,0,7.3,7.3,7.3
Brett Rypien,DEN,QB,4,NYJ,226.9,1.22,0.94,1.86,7.61,0.07,0,0,0,242,2,0,0,0,0,0,0,0,14.2,14.2,14.2,17.68,17.68,17.68,15.1,0.78,-0.94,-1.86,-7.61,-0.07,0,0,0,3.48,3.48,3.48
Melvin Gordon,DEN,RB,4,NYJ,0,0,0,17.7,72.45,0.61,3.02,22.23,0.12,0,0,0,23,107,2,2,11,0,13.85,16.87,15.36,23.8,25.8,24.8,0,0,0,5.3,34.55,1.39,-1.02,-11.23,-0.12,9.95,8.93,9.44
Frank Gore,NYJ,RB,4,DEN,0,0,0,16.03,61.98,0.31,0.92,6.6,0.04,0,0,0,13,30,0,1,6,0,8.96,9.88,9.42,3.6,4.6,4.1,0,0,0,-3.03,-31.98,-0.31,0.08,-0.6,-0.04,-5.36,-5.28,-5.32
Royce Freeman,DEN,RB,4,NYJ,0,0,0,6.32,24.52,0.19,0.98,6.45,0.03,0,0,0,3,6,0,2,6,0,4.42,5.4,4.91,1.2,3.2,2.2,0,0,0,-3.32,-18.52,-0.19,1.02,-0.45,-0.03,-3.22,-2.2,-2.71
Kalen Ballage,NYJ,RB,4,DEN,0,0,0,4.32,16.86,0.15,0.7,4.53,0.03,0,0,0,0,0,0,2,11,0,3.22,3.92,3.57,1.1,3.1,2.1,0,0,0,-4.32,-16.86,-0.15,1.3,6.47,-0.03,-2.12,-0.82,-1.47
La'Mical Perine,NYJ,RB,4,DEN,0,0,0,3.2,12.88,0.11,0.51,3.48,0.02,0,0,0,5,15,0,0,0,0,2.42,2.93,2.68,1.5,1.5,1.5,0,0,0,1.8,2.12,-0.11,-0.51,-3.48,-0.02,-0.92,-1.43,-1.17
Jamison Crowder,NYJ,WR,4,DEN,0,0,0,0,0,0,5.01,54.93,0.39,0,0,0,0,0,0,7,104,0,7.83,12.84,10.34,10.4,17.4,13.9,0,0,0,0,0,0,1.99,49.07,-0.39,2.57,4.56,3.56
Jerry Jeudy,DEN,WR,4,NYJ,0,0,0,0,0,0,4.52,57.11,0.29,0,0,0,0,0,0,2,61,1,7.45,11.97,9.71,12.1,14.1,13.1,0,0,0,0,0,0,-2.52,3.89,0.71,4.65,2.13,3.39
Chris Hogan,NYJ,WR,4,DEN,0,0,0,0,0,0,2.47,30.01,0.2,0,0,0,0,0,0,4,23,0,4.2,6.67,5.44,2.3,6.3,4.3,0,0,0,0,0,0,1.53,-7.01,-0.2,-1.9,-0.37,-1.14
Tim Patrick,DEN,WR,4,NYJ,0,0,0,0,0,0,2.5,29.55,0.15,0,0,0,0,0,0,6,113,1,3.86,6.36,5.11,17.3,23.3,20.3,0,0,0,0,0,0,3.5,83.45,0.85,13.44,16.94,15.19
DaeSean Hamilton,DEN,WR,4,NYJ,0,0,0,0,0,0,0.45,4.64,0.03,0,0,0,0,0,0,1,9,0,0.64,1.09,0.86,0.9,1.9,1.4,0,0,0,0,0,0,0.55,4.36,-0.03,0.26,0.81,0.53
Jeff Smith,NYJ,WR,4,DEN,0,0,0,0,0,0,0.04,0.49,0,0,0,0,0,0,0,7,81,0,0.05,0.09,0.07,8.1,15.1,11.6,0,0,0,0,0,0,6.96,80.51,0,8.05,15.01,11.53
Noah Fant,DEN,TE,4,NYJ,0,0,0,0,0,0,3.76,43.5,0.24,0,0,0,0,0,0,5,35,0,5.79,9.55,7.67,3.5,8.5,6,0,0,0,0,0,0,1.24,-8.5,-0.24,-2.29,-1.05,-1.67
Chris Herndon,NYJ,TE,4,DEN,0,0,0,0,0,0,3.68,38.22,0.26,0,0,0,0,0,0,1,11,0,5.38,9.06,7.22,1.1,2.1,1.6,0,0,0,0,0,0,-2.68,-27.22,-0.26,-4.28,-6.96,-5.62
Ryan Griffin,NYJ,TE,4,DEN,0,0,0,0,0,0,1.5,14.94,0.11,0,0,0,0,0,0,3,10,0,2.15,3.65,2.9,1,4,2.5,0,0,0,0,0,0,1.5,-4.94,-0.11,-1.15,0.35,-0.4
Nick Vannett,DEN,TE,4,NYJ,0,0,0,0,0,0,0.23,2.17,0.01,0,0,0,0,0,0,1,7,0,0.28,0.51,0.4,0.7,1.7,1.2,0,0,0,0,0,0,0.77,4.83,-0.01,0.42,1.19,0.8
Brandon McManus,DEN,K,4,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,6.97,6.97,13,13,13,0,0,0,0,0,0,0,0,0,6.03,6.03,6.03
Samuel Ficken,NYJ,K,4,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,6.67,16,16,16,0,0,0,0,0,0,0,0,0,9.33,9.33,9.33
Lamar Jackson,BAL,QB,4,WSH,237.09,2.02,0.62,11.21,56.07,0.47,0,0,0,193,2,0,7,53,1,0,0,0,25.37,25.37,25.37,27.02,27.02,27.02,-44.09,-0.02,-0.62,-4.21,-3.07,0.53,0,0,0,1.65,1.65,1.65
Dak Prescott,DAL,QB,4,CLE,305.28,2.24,0.69,5.29,23.81,0.38,0,0,0,502,4,0,3,14,0,0,0,0,25.14,25.14,25.14,37.48,37.48,37.48,196.72,1.76,-0.69,-2.29,-9.81,-0.38,0,0,0,12.34,12.34,12.34
Russell Wilson,SEA,QB,4,MIA,287.88,2.62,0.58,4.41,23.14,0.15,0,0,0,360,2,0,1,8,0,0,0,0,24.63,24.63,24.63,23.2,23.2,23.2,72.12,-0.62,-0.58,-3.41,-15.14,-0.15,0,0,0,-1.43,-1.43,-1.43
