PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Teddy Bridgewater,CAR,QB,8,ATL,283.28,1.82,0.82,3.48,15.38,0.25,0,0,0,176,1,0,5,30,0,0,0,0,20.83,20.83,20.83,14.04,14.04,14.04,-107.28,-0.82,-0.82,1.52,14.62,-0.25,0,0,0,-6.79,-6.79,-6.79
Matt Ryan,ATL,QB,8,CAR,303.59,1.83,0.66,1.01,3.78,0.03,0,0,0,281,0,0,4,29,1,0,0,0,19.36,19.36,19.36,20.14,20.14,20.14,-22.59,-1.83,-0.66,2.99,25.22,0.97,0,0,0,0.78,0.78,0.78
Mike Davis,CAR,RB,8,ATL,0,0,0,17.3,70.75,0.67,5.22,33.14,0.15,0,0,0,13,66,0,1,11,0,15.31,20.53,17.92,7.7,8.7,8.2,0,0,0,-4.3,-4.75,-0.67,-4.22,-22.14,-0.15,-7.61,-11.83,-9.72
Todd Gurley,ATL,RB,8,CAR,0,0,0,15.89,69.92,0.76,2.17,16.94,0.09,0,0,0,18,46,1,0,0,0,13.79,15.96,14.88,10.6,10.6,10.6,0,0,0,2.11,-23.92,0.24,-2.17,-16.94,-0.09,-3.19,-5.36,-4.28
Brian Hill,ATL,RB,8,CAR,0,0,0,6.08,25.41,0.14,1.5,10.82,0.03,0,0,0,11,55,0,2,9,0,4.64,6.14,5.39,6.4,8.4,7.4,0,0,0,4.92,29.59,-0.14,0.5,-1.82,-0.03,1.76,2.26,2.01
Qadree Ollison,ATL,RB,8,CAR,0,0,0,0.05,0.23,0,0.05,0.36,0,0,0,0,1,3,0,0,0,0,0.06,0.11,0.08,0.3,0.3,0.3,0,0,0,0.95,2.77,0,-0.05,-0.36,0,0.24,0.19,0.22
Calvin Ridley,ATL,WR,8,CAR,0,0,0,0.2,1.09,0.01,6.08,85.24,0.58,0,0,0,0,0,0,3,42,0,12.17,18.25,15.21,4.2,7.2,5.7,0,0,0,-0.2,-1.09,-0.01,-3.08,-43.24,-0.58,-7.97,-11.05,-9.51
DJ Moore,CAR,WR,8,ATL,0,0,0,0.26,1.43,0.02,5.85,85.78,0.46,0,0,0,0,0,0,2,55,0,11.6,17.45,14.52,5.5,7.5,6.5,0,0,0,-0.26,-1.43,-0.02,-3.85,-30.78,-0.46,-6.1,-9.95,-8.02
Robby Anderson,CAR,WR,8,ATL,0,0,0,0.31,1.67,0.02,5.67,79.5,0.52,0,0,0,0,0,0,5,45,0,11.36,17.03,14.2,4.5,9.5,7,0,0,0,-0.31,-1.67,-0.02,-0.67,-34.5,-0.52,-6.86,-7.53,-7.2
Julio Jones,ATL,WR,8,CAR,0,0,0,0,0,0,6.02,84.44,0.4,0,0,0,0,0,0,7,137,0,10.84,16.86,13.85,13.7,20.7,17.2,0,0,0,0,0,0,0.98,52.56,-0.4,2.86,3.84,3.35
Curtis Samuel,CAR,WR,8,ATL,0,0,0,1.59,8.83,0.13,3.76,41.94,0.31,0,0,0,3,23,1,4,34,1,7.72,11.48,9.6,17.7,21.7,19.7,0,0,0,1.41,14.17,0.87,0.24,-7.94,0.69,9.98,10.22,10.1
Russell Gage,ATL,WR,8,CAR,0,0,0,0.07,0.37,0,3.54,34.34,0.21,0,0,0,0,0,0,2,25,0,4.73,8.27,6.5,2.5,4.5,3.5,0,0,0,-0.07,-0.37,0,-1.54,-9.34,-0.21,-2.23,-3.77,-3
Christian Blake,ATL,WR,8,CAR,0,0,0,0,0,0,0.05,0.53,0,0,0,0,0,0,0,2,14,0,0.05,0.1,0.08,1.4,3.4,2.4,0,0,0,0,0,0,1.95,13.47,0,1.35,3.3,2.32
Hayden Hurst,ATL,TE,8,CAR,0,0,0,0,0,0,3.38,38.17,0.31,0,0,0,0,0,0,5,54,0,5.68,9.06,7.37,5.4,10.4,7.9,0,0,0,0,0,0,1.62,15.83,-0.31,-0.28,1.34,0.53
Ian Thomas,CAR,TE,8,ATL,0,0,0,0,0,0,1.98,18.47,0.2,0,0,0,0,0,0,3,28,0,3.05,5.03,4.04,2.8,5.8,4.3,0,0,0,0,0,0,1.02,9.53,-0.2,-0.25,0.77,0.26
Chris Manhertz,CAR,TE,8,ATL,0,0,0,0,0,0,0.36,3.7,0.04,0,0,0,0,0,0,1,6,0,0.61,0.97,0.79,0.6,1.6,1.1,0,0,0,0,0,0,0.64,2.3,-0.04,-0.01,0.63,0.31
Younghoe Koo,ATL,K,8,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,8.01,8.01,13,13,13,0,0,0,0,0,0,0,0,0,4.99,4.99,4.99
Joey Slye,CAR,K,8,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,7.91,7.91,5,5,5,0,0,0,0,0,0,0,0,0,-2.91,-2.91,-2.91
Russell Wilson,SEA,QB,8,SF,294.14,2.64,0.61,4.53,23.76,0.12,0,0,0,261,4,0,3,26,0,0,0,0,24.81,24.81,24.81,29.04,29.04,29.04,-33.14,1.36,-0.61,-1.53,2.24,-0.12,0,0,0,4.23,4.23,4.23
